"","ref_year","geo","total_population_growth","immigrants","emigrants","net_interprovincial_migrants","net_interprovincial_migrants_CPC","emigrants_CPC","immigrants_CPC","other","other_CPC"
"145",2020,"New Brunswick",4608,2893,218,1426,0.309,0.047,0.628,71,0.015
"146",2020,"Newfoundland and Labrador",-1373,904,53,-1306,0.951,-0.039,-0.658,-1024,0.746
"147",2020,"Northwest Territories",133,124,8,-341,-2.564,0.06,0.932,342,2.571
"148",2020,"Nova Scotia",9604,3511,385,4163,0.433,0.04,0.366,1545,0.161
"149",2020,"Nunavut",739,20,0,28,0.038,0,0.027,691,0.935
"150",2020,"Ontario",189296,82981,9158,-3488,-0.018,0.048,0.438,100645,0.532
"151",2020,"Prince Edward Island",2363,1293,17,-157,-0.066,0.007,0.547,1210,0.512
"152",2020,"Quebec",72868,25223,2688,-1696,-0.023,0.037,0.346,46653,0.64
"153",2020,"Saskatchewan",6379,7402,318,-10318,-1.617,0.05,1.16,8977,1.407
"154",2020,"Yukon",575,176,8,214,0.372,0.014,0.306,177,0.308
