"","ref_date","geo","value","business_characteristics"
"83","2020","Quebec",12.2,"Construction [23]"
"84","2020","Quebec",13.2,"Manufacturing [31-33]"
"85","2020","Quebec",21.4,"Wholesale trade [41]"
"86","2020","Quebec",15.1,"Retail trade [44-45]"
"87","2020","Quebec",20.6,"Transportation and warehousing [48-49]"
"88","2020","Quebec",16,"Information and cultural industries [51]"
"89","2020","Quebec",26.3,"Finance and insurance [52]"
"90","2020","Quebec",12,"Real estate and rental and leasing [53]"
"91","2020","Quebec",16.5,"Professional, scientific and technical services [54]"
"92","2020","Quebec",18.6,"Administrative and support, waste management and remediation services [56]"
"93","2020","Quebec",16.5,"Health care and social assistance [62]"
"94","2020","Quebec",12.5,"Arts, entertainment and recreation [71]"
"95","2020","Quebec",15.8,"Accommodation and food services [72]"
"96","2020","Quebec",8.8,"Other services (except public administration) [81]"
"97","2020","Ontario",18.1,"Agriculture, forestry, fishing and hunting [11]"
"98","2020","Ontario",23,"Mining, quarrying, and oil and gas extraction [21]"
"99","2020","Ontario",13.3,"Construction [23]"
"100","2020","Ontario",18.4,"Manufacturing [31-33]"
"101","2020","Ontario",20.3,"Wholesale trade [41]"
"102","2020","Ontario",17.4,"Retail trade [44-45]"
"103","2020","Ontario",39.6,"Transportation and warehousing [48-49]"
"104","2020","Ontario",20,"Information and cultural industries [51]"
"105","2020","Ontario",25.9,"Finance and insurance [52]"
"106","2020","Ontario",17.9,"Real estate and rental and leasing [53]"
"107","2020","Ontario",11.2,"Professional, scientific and technical services [54]"
"108","2020","Ontario",23.5,"Administrative and support, waste management and remediation services [56]"
"109","2020","Ontario",19.6,"Health care and social assistance [62]"
"110","2020","Ontario",19.4,"Arts, entertainment and recreation [71]"
"111","2020","Ontario",39.4,"Accommodation and food services [72]"
"112","2020","Ontario",19,"Other services (except public administration) [81]"
"113","2020","Manitoba",6.9,"Agriculture, forestry, fishing and hunting [11]"
"114","2020","Manitoba",33.2,"Mining, quarrying, and oil and gas extraction [21]"
"115","2020","Manitoba",15.5,"Construction [23]"
"116","2020","Manitoba",21.7,"Manufacturing [31-33]"
"117","2020","Manitoba",27.8,"Wholesale trade [41]"
"118","2020","Manitoba",22.9,"Retail trade [44-45]"
"119","2020","Manitoba",24.9,"Transportation and warehousing [48-49]"
"120","2020","Manitoba",22.9,"Information and cultural industries [51]"
"121","2020","Manitoba",25.1,"Finance and insurance [52]"
"122","2020","Manitoba",16.4,"Real estate and rental and leasing [53]"
"123","2020","Manitoba",12.2,"Professional, scientific and technical services [54]"
"124","2020","Manitoba",16.5,"Administrative and support, waste management and remediation services [56]"
"125","2020","Manitoba",19,"Health care and social assistance [62]"
"126","2020","Manitoba",15.3,"Arts, entertainment and recreation [71]"
"127","2020","Manitoba",21.5,"Accommodation and food services [72]"
"128","2020","Manitoba",21.9,"Other services (except public administration) [81]"
"129","2020","Saskatchewan",14.4,"Agriculture, forestry, fishing and hunting [11]"
"130","2020","Saskatchewan",13.9,"Mining, quarrying, and oil and gas extraction [21]"
"131","2020","Saskatchewan",13,"Construction [23]"
"132","2020","Saskatchewan",17.8,"Manufacturing [31-33]"
"133","2020","Saskatchewan",10.9,"Wholesale trade [41]"
"134","2020","Saskatchewan",28.1,"Retail trade [44-45]"
"135","2020","Saskatchewan",23.8,"Transportation and warehousing [48-49]"
"136","2020","Saskatchewan",27.2,"Information and cultural industries [51]"
