"","ref_year","geo","products","supply_and_disposition","value","value_fd","value_pc"
"67",2020,"Manitoba","Natural gas liquids","Imports, supply",23495,-17977,-43.347
"68",2020,"Manitoba","Finished petroleum products","Imports, supply",138601,53115,62.133
"69",2020,"New Brunswick","Natural gas liquids","Refinery and blender net production, supply",0,0,NA
"70",2020,"New Brunswick","Finished petroleum products","Refinery and blender net production, supply",0,0,NA
"71",2020,"New Brunswick","Natural gas liquids","Imports, supply",136130,-206107,-60.223
"72",2020,"New Brunswick","Finished petroleum products","Imports, supply",405077,-98175,-19.508
"73",2020,"Newfoundland and Labrador","Natural gas liquids","Refinery and blender net production, supply",-76059,-4942,6.949
"74",2020,"Newfoundland and Labrador","Finished petroleum products","Refinery and blender net production, supply",1129389,-3346317,-74.766
"75",2020,"Newfoundland and Labrador","Natural gas liquids","Imports, supply",77988,-16383,-17.36
"76",2020,"Newfoundland and Labrador","Finished petroleum products","Imports, supply",936937,145117,18.327
"77",2020,"Northwest Territories","Natural gas liquids","Refinery and blender net production, supply",0,0,NA
"78",2020,"Northwest Territories","Finished petroleum products","Refinery and blender net production, supply",638,252,65.285
"79",2020,"Northwest Territories","Natural gas liquids","Imports, supply",0,0,NA
"80",2020,"Northwest Territories","Finished petroleum products","Imports, supply",0,0,NA
"81",2020,"Nova Scotia","Natural gas liquids","Refinery and blender net production, supply",0,0,NA
"82",2020,"Nova Scotia","Finished petroleum products","Refinery and blender net production, supply",0,0,NA
"83",2020,"Nova Scotia","Natural gas liquids","Imports, supply",0,-41171,-100
"84",2020,"Nova Scotia","Finished petroleum products","Imports, supply",1101302,-415602,-27.398
"85",2020,"Nunavut","Natural gas liquids","Imports, supply",0,0,NA
"86",2020,"Nunavut","Finished petroleum products","Imports, supply",0,0,NA
"87",2020,"Ontario","Natural gas liquids","Refinery and blender net production, supply",445498,-70538,-13.669
"88",2020,"Ontario","Finished petroleum products","Refinery and blender net production, supply",23107856,-3217205,-12.221
"89",2020,"Ontario","Natural gas liquids","Imports, supply",1605660,-47638,-2.881
"90",2020,"Ontario","Finished petroleum products","Imports, supply",1864253,-641438,-25.599
"91",2020,"Prince Edward Island","Natural gas liquids","Refinery and blender net production, supply",0,0,NA
"92",2020,"Prince Edward Island","Finished petroleum products","Refinery and blender net production, supply",0,0,NA
"93",2020,"Prince Edward Island","Natural gas liquids","Imports, supply",0,0,NA
"94",2020,"Prince Edward Island","Finished petroleum products","Imports, supply",0,0,NA
"95",2020,"Quebec","Natural gas liquids","Refinery and blender net production, supply",352447,-48937,-12.192
"96",2020,"Quebec","Finished petroleum products","Refinery and blender net production, supply",20955543,-2788517,-11.744
"97",2020,"Quebec","Natural gas liquids","Imports, supply",30751,-781952,-96.216
"98",2020,"Quebec","Finished petroleum products","Imports, supply",2530189,-2916642,-53.548
"99",2020,"Saskatchewan","Natural gas liquids","Refinery and blender net production, supply",105731,-67518,-38.972
"100",2020,"Saskatchewan","Finished petroleum products","Refinery and blender net production, supply",6763159,-212793,-3.05
"101",2020,"Saskatchewan","Natural gas liquids","Imports, supply",707706,84965,13.644
"102",2020,"Saskatchewan","Finished petroleum products","Imports, supply",18203,5261,40.651
"103",2020,"Yukon","Natural gas liquids","Imports, supply",0,0,NA
"104",2020,"Yukon","Finished petroleum products","Imports, supply",758,-1485,-66.206
