"","ref_date","financial_market_statistics","value"
"114",2010-02-24,"Target rate",0.25
"115",2010-02-25,"Real return benchmark bond yield, long term",1.57
"116",2010-02-25,"Target rate",0.25
"117",2010-02-26,"Real return benchmark bond yield, long term",1.575
"118",2010-02-26,"Target rate",0.25
"119",2010-02-27,"Real return benchmark bond yield, long term",0
"120",2010-02-27,"Target rate",0
"121",2010-02-28,"Real return benchmark bond yield, long term",0
"122",2010-02-28,"Target rate",0
"123",2010-03-01,"Real return benchmark bond yield, long term",1.578
"124",2010-03-01,"Target rate",0.25
"125",2010-03-02,"Real return benchmark bond yield, long term",1.56
"126",2010-03-02,"Target rate",0.25
"127",2010-03-03,"Real return benchmark bond yield, long term",1.562
"128",2010-03-03,"Target rate",0.25
"129",2010-03-04,"Real return benchmark bond yield, long term",1.575
"130",2010-03-04,"Target rate",0.25
"131",2010-03-05,"Real return benchmark bond yield, long term",1.619
"132",2010-03-05,"Target rate",0.25
"133",2010-03-06,"Real return benchmark bond yield, long term",0
"134",2010-03-06,"Target rate",0
"135",2010-03-07,"Real return benchmark bond yield, long term",0
"136",2010-03-07,"Target rate",0
"137",2010-03-08,"Real return benchmark bond yield, long term",1.647
"138",2010-03-08,"Target rate",0.25
"139",2010-03-09,"Real return benchmark bond yield, long term",1.659
"140",2010-03-09,"Target rate",0.25
"141",2010-03-10,"Real return benchmark bond yield, long term",1.646
"142",2010-03-10,"Target rate",0.25
"143",2010-03-11,"Real return benchmark bond yield, long term",1.592
"144",2010-03-11,"Target rate",0.25
"145",2010-03-12,"Real return benchmark bond yield, long term",1.606
"146",2010-03-12,"Target rate",0.25
"147",2010-03-13,"Real return benchmark bond yield, long term",0
"148",2010-03-13,"Target rate",0
"149",2010-03-14,"Real return benchmark bond yield, long term",0
"150",2010-03-14,"Target rate",0
"151",2010-03-15,"Real return benchmark bond yield, long term",1.578
"152",2010-03-15,"Target rate",0.25
"153",2010-03-16,"Real return benchmark bond yield, long term",1.569
"154",2010-03-16,"Target rate",0.25
"155",2010-03-17,"Real return benchmark bond yield, long term",1.591
"156",2010-03-17,"Target rate",0.25
"157",2010-03-18,"Real return benchmark bond yield, long term",1.562
"158",2010-03-18,"Target rate",0.25
"159",2010-03-19,"Real return benchmark bond yield, long term",1.554
"160",2010-03-19,"Target rate",0.25
"161",2010-03-20,"Real return benchmark bond yield, long term",0
"162",2010-03-20,"Target rate",0
"163",2010-03-21,"Real return benchmark bond yield, long term",0
"164",2010-03-21,"Target rate",0
"165",2010-03-22,"Real return benchmark bond yield, long term",1.543
"166",2010-03-22,"Target rate",0.25
"167",2010-03-23,"Real return benchmark bond yield, long term",1.54
"168",2010-03-23,"Target rate",0.25
"169",2010-03-24,"Real return benchmark bond yield, long term",1.575
"170",2010-03-24,"Target rate",0.25
"171",2010-03-25,"Real return benchmark bond yield, long term",1.567
"172",2010-03-25,"Target rate",0.25
"173",2010-03-26,"Real return benchmark bond yield, long term",1.564
"174",2010-03-26,"Target rate",0.25
"175",2010-03-27,"Real return benchmark bond yield, long term",0
"176",2010-03-27,"Target rate",0
"177",2010-03-28,"Real return benchmark bond yield, long term",0
"178",2010-03-28,"Target rate",0
"179",2010-03-29,"Real return benchmark bond yield, long term",1.58
"180",2010-03-29,"Target rate",0.25
"181",2010-03-30,"Real return benchmark bond yield, long term",1.58
"182",2010-03-30,"Target rate",0.25
"183",2010-03-31,"Real return benchmark bond yield, long term",1.555
"184",2010-03-31,"Target rate",0.25
"185",2010-04-01,"Real return benchmark bond yield, long term",1.535
"186",2010-04-01,"Target rate",0.25
"187",2010-04-02,"Real return benchmark bond yield, long term",NA
"188",2010-04-02,"Target rate",0.25
"189",2010-04-03,"Real return benchmark bond yield, long term",0
"190",2010-04-03,"Target rate",0
"191",2010-04-04,"Real return benchmark bond yield, long term",0
"192",2010-04-04,"Target rate",0
"193",2010-04-05,"Real return benchmark bond yield, long term",1.584
"194",2010-04-05,"Target rate",0.25
"195",2010-04-06,"Real return benchmark bond yield, long term",1.578
"196",2010-04-06,"Target rate",0.25
"197",2010-04-07,"Real return benchmark bond yield, long term",1.535
"198",2010-04-07,"Target rate",0.25
"199",2010-04-08,"Real return benchmark bond yield, long term",1.562
"200",2010-04-08,"Target rate",0.25
"201",2010-04-09,"Real return benchmark bond yield, long term",1.523
"202",2010-04-09,"Target rate",0.25
"203",2010-04-10,"Real return benchmark bond yield, long term",0
"204",2010-04-10,"Target rate",0
"205",2010-04-11,"Real return benchmark bond yield, long term",0
"206",2010-04-11,"Target rate",0
"207",2010-04-12,"Real return benchmark bond yield, long term",1.523
"208",2010-04-12,"Target rate",0.25
"209",2010-04-13,"Real return benchmark bond yield, long term",1.545
"210",2010-04-13,"Target rate",0.25
"211",2010-04-14,"Real return benchmark bond yield, long term",1.573
"212",2010-04-14,"Target rate",0.25
"213",2010-04-15,"Real return benchmark bond yield, long term",1.557
"214",2010-04-15,"Target rate",0.25
"215",2010-04-16,"Real return benchmark bond yield, long term",1.558
"216",2010-04-16,"Target rate",0.25
"217",2010-04-17,"Real return benchmark bond yield, long term",0
"218",2010-04-17,"Target rate",0
"219",2010-04-18,"Real return benchmark bond yield, long term",0
"220",2010-04-18,"Target rate",0
"221",2010-04-19,"Real return benchmark bond yield, long term",1.547
"222",2010-04-19,"Target rate",0.25
"223",2010-04-20,"Real return benchmark bond yield, long term",1.54
"224",2010-04-20,"Target rate",0.25
"225",2010-04-21,"Real return benchmark bond yield, long term",1.527
"226",2010-04-21,"Target rate",0.25
"227",2010-04-22,"Real return benchmark bond yield, long term",1.552
"228",2010-04-22,"Target rate",0.25
"229",2010-04-23,"Real return benchmark bond yield, long term",1.55
"230",2010-04-23,"Target rate",0.25
"231",2010-04-24,"Real return benchmark bond yield, long term",0
"232",2010-04-24,"Target rate",0
"233",2010-04-25,"Real return benchmark bond yield, long term",0
"234",2010-04-25,"Target rate",0
"235",2010-04-26,"Real return benchmark bond yield, long term",1.541
"236",2010-04-26,"Target rate",0.25
"237",2010-04-27,"Real return benchmark bond yield, long term",1.51
"238",2010-04-27,"Target rate",0.25
"239",2010-04-28,"Real return benchmark bond yield, long term",1.536
"240",2010-04-28,"Target rate",0.25
"241",2010-04-29,"Real return benchmark bond yield, long term",1.528
"242",2010-04-29,"Target rate",0.25
"243",2010-04-30,"Real return benchmark bond yield, long term",1.486
"244",2010-04-30,"Target rate",0.25
"245",2010-05-01,"Real return benchmark bond yield, long term",0
"246",2010-05-01,"Target rate",0
"247",2010-05-02,"Real return benchmark bond yield, long term",0
"248",2010-05-02,"Target rate",0
"249",2010-05-03,"Real return benchmark bond yield, long term",1.48
"250",2010-05-03,"Target rate",0.25
"251",2010-05-04,"Real return benchmark bond yield, long term",1.455
"252",2010-05-04,"Target rate",0.25
"253",2010-05-05,"Real return benchmark bond yield, long term",1.466
"254",2010-05-05,"Target rate",0.25
"255",2010-05-06,"Real return benchmark bond yield, long term",1.485
"256",2010-05-06,"Target rate",0.25
"257",2010-05-07,"Real return benchmark bond yield, long term",1.494
"258",2010-05-07,"Target rate",0.25
"259",2010-05-08,"Real return benchmark bond yield, long term",0
"260",2010-05-08,"Target rate",0
"261",2010-05-09,"Real return benchmark bond yield, long term",0
"262",2010-05-09,"Target rate",0
"263",2010-05-10,"Real return benchmark bond yield, long term",1.522
"264",2010-05-10,"Target rate",0.25
"265",2010-05-11,"Real return benchmark bond yield, long term",1.519
"266",2010-05-11,"Target rate",0.25
"267",2010-05-12,"Real return benchmark bond yield, long term",1.52
"268",2010-05-12,"Target rate",0.25
"269",2010-05-13,"Real return benchmark bond yield, long term",1.45
"270",2010-05-13,"Target rate",0.25
"271",2010-05-14,"Real return benchmark bond yield, long term",1.426
"272",2010-05-14,"Target rate",0.25
"273",2010-05-15,"Real return benchmark bond yield, long term",0
"274",2010-05-15,"Target rate",0
"275",2010-05-16,"Real return benchmark bond yield, long term",0
