"","ref_date","financial_market_statistics","value"
"935",2011-04-11,"Real return benchmark bond yield, long term",1.179
"936",2011-04-11,"Target rate",1
"937",2011-04-12,"Real return benchmark bond yield, long term",1.154
"938",2011-04-12,"Target rate",1
"939",2011-04-13,"Real return benchmark bond yield, long term",1.134
"940",2011-04-13,"Target rate",1
"941",2011-04-14,"Real return benchmark bond yield, long term",1.108
"942",2011-04-14,"Target rate",1
"943",2011-04-15,"Real return benchmark bond yield, long term",1.051
"944",2011-04-15,"Target rate",1
"945",2011-04-16,"Real return benchmark bond yield, long term",0
"946",2011-04-16,"Target rate",0
"947",2011-04-17,"Real return benchmark bond yield, long term",0
"948",2011-04-17,"Target rate",0
"949",2011-04-18,"Real return benchmark bond yield, long term",1.025
"950",2011-04-18,"Target rate",1
"951",2011-04-19,"Real return benchmark bond yield, long term",1.01
"952",2011-04-19,"Target rate",1
"953",2011-04-20,"Real return benchmark bond yield, long term",1.059
"954",2011-04-20,"Target rate",1
"955",2011-04-21,"Real return benchmark bond yield, long term",1.042
"956",2011-04-21,"Target rate",1
"957",2011-04-22,"Real return benchmark bond yield, long term",NA
"958",2011-04-22,"Target rate",1
"959",2011-04-23,"Real return benchmark bond yield, long term",0
"960",2011-04-23,"Target rate",0
"961",2011-04-24,"Real return benchmark bond yield, long term",0
"962",2011-04-24,"Target rate",0
"963",2011-04-25,"Real return benchmark bond yield, long term",1.012
"964",2011-04-25,"Target rate",1
"965",2011-04-26,"Real return benchmark bond yield, long term",0.996
"966",2011-04-26,"Target rate",1
"967",2011-04-27,"Real return benchmark bond yield, long term",1.047
"968",2011-04-27,"Target rate",1
"969",2011-04-28,"Real return benchmark bond yield, long term",1.016
"970",2011-04-28,"Target rate",1
"971",2011-04-29,"Real return benchmark bond yield, long term",0.996
"972",2011-04-29,"Target rate",1
"973",2011-04-30,"Real return benchmark bond yield, long term",0
"974",2011-04-30,"Target rate",0
"975",2011-05-01,"Real return benchmark bond yield, long term",0
"976",2011-05-01,"Target rate",0
"977",2011-05-02,"Real return benchmark bond yield, long term",0.997
"978",2011-05-02,"Target rate",1
"979",2011-05-03,"Real return benchmark bond yield, long term",0.955
"980",2011-05-03,"Target rate",1
"981",2011-05-04,"Real return benchmark bond yield, long term",0.923
"982",2011-05-04,"Target rate",1
"983",2011-05-05,"Real return benchmark bond yield, long term",0.934
"984",2011-05-05,"Target rate",1
"985",2011-05-06,"Real return benchmark bond yield, long term",0.954
"986",2011-05-06,"Target rate",1
"987",2011-05-07,"Real return benchmark bond yield, long term",0
"988",2011-05-07,"Target rate",0
"989",2011-05-08,"Real return benchmark bond yield, long term",0
"990",2011-05-08,"Target rate",0
"991",2011-05-09,"Real return benchmark bond yield, long term",0.949
"992",2011-05-09,"Target rate",1
"993",2011-05-10,"Real return benchmark bond yield, long term",0.984
"994",2011-05-10,"Target rate",1
"995",2011-05-11,"Real return benchmark bond yield, long term",0.991
"996",2011-05-11,"Target rate",1
"997",2011-05-12,"Real return benchmark bond yield, long term",0.998
"998",2011-05-12,"Target rate",1
"999",2011-05-13,"Real return benchmark bond yield, long term",0.986
"1000",2011-05-13,"Target rate",1
"1001",2011-05-14,"Real return benchmark bond yield, long term",0
"1002",2011-05-14,"Target rate",0
"1003",2011-05-15,"Real return benchmark bond yield, long term",0
"1004",2011-05-15,"Target rate",0
"1005",2011-05-16,"Real return benchmark bond yield, long term",0.978
"1006",2011-05-16,"Target rate",1
"1007",2011-05-17,"Real return benchmark bond yield, long term",0.986
"1008",2011-05-17,"Target rate",1
"1009",2011-05-18,"Real return benchmark bond yield, long term",1.006
"1010",2011-05-18,"Target rate",1
"1011",2011-05-19,"Real return benchmark bond yield, long term",1.037
"1012",2011-05-19,"Target rate",1
"1013",2011-05-20,"Real return benchmark bond yield, long term",1.038
"1014",2011-05-20,"Target rate",1
"1015",2011-05-21,"Real return benchmark bond yield, long term",0
"1016",2011-05-21,"Target rate",0
"1017",2011-05-22,"Real return benchmark bond yield, long term",0
"1018",2011-05-22,"Target rate",0
"1019",2011-05-23,"Real return benchmark bond yield, long term",NA
"1020",2011-05-23,"Target rate",1
"1021",2011-05-24,"Real return benchmark bond yield, long term",1.011
"1022",2011-05-24,"Target rate",1
"1023",2011-05-25,"Real return benchmark bond yield, long term",0.99
"1024",2011-05-25,"Target rate",1
"1025",2011-05-26,"Real return benchmark bond yield, long term",0.982
"1026",2011-05-26,"Target rate",1
"1027",2011-05-27,"Real return benchmark bond yield, long term",1.002
"1028",2011-05-27,"Target rate",1
"1029",2011-05-28,"Real return benchmark bond yield, long term",0
"1030",2011-05-28,"Target rate",0
"1031",2011-05-29,"Real return benchmark bond yield, long term",0
"1032",2011-05-29,"Target rate",0
"1033",2011-05-30,"Real return benchmark bond yield, long term",1.006
"1034",2011-05-30,"Target rate",1
"1035",2011-05-31,"Real return benchmark bond yield, long term",0.976
"1036",2011-05-31,"Target rate",1
"1037",2011-06-01,"Real return benchmark bond yield, long term",1.022
"1038",2011-06-01,"Target rate",1
"1039",2011-06-02,"Real return benchmark bond yield, long term",1.057
"1040",2011-06-02,"Target rate",1
"1041",2011-06-03,"Real return benchmark bond yield, long term",1.05
"1042",2011-06-03,"Target rate",1
"1043",2011-06-04,"Real return benchmark bond yield, long term",0
"1044",2011-06-04,"Target rate",0
"1045",2011-06-05,"Real return benchmark bond yield, long term",0
"1046",2011-06-05,"Target rate",0
"1047",2011-06-06,"Real return benchmark bond yield, long term",1.044
"1048",2011-06-06,"Target rate",1
"1049",2011-06-07,"Real return benchmark bond yield, long term",1.049
"1050",2011-06-07,"Target rate",1
"1051",2011-06-08,"Real return benchmark bond yield, long term",1.024
"1052",2011-06-08,"Target rate",1
"1053",2011-06-09,"Real return benchmark bond yield, long term",1.054
"1054",2011-06-09,"Target rate",1
"1055",2011-06-10,"Real return benchmark bond yield, long term",1.032
"1056",2011-06-10,"Target rate",1
"1057",2011-06-11,"Real return benchmark bond yield, long term",0
"1058",2011-06-11,"Target rate",0
"1059",2011-06-12,"Real return benchmark bond yield, long term",0
"1060",2011-06-12,"Target rate",0
"1061",2011-06-13,"Real return benchmark bond yield, long term",1.019
"1062",2011-06-13,"Target rate",1
"1063",2011-06-14,"Real return benchmark bond yield, long term",1.061
"1064",2011-06-14,"Target rate",1
"1065",2011-06-15,"Real return benchmark bond yield, long term",0.995
"1066",2011-06-15,"Target rate",1
"1067",2011-06-16,"Real return benchmark bond yield, long term",0.978
"1068",2011-06-16,"Target rate",1
"1069",2011-06-17,"Real return benchmark bond yield, long term",0.984
"1070",2011-06-17,"Target rate",1
"1071",2011-06-18,"Real return benchmark bond yield, long term",0
"1072",2011-06-18,"Target rate",0
"1073",2011-06-19,"Real return benchmark bond yield, long term",0
"1074",2011-06-19,"Target rate",0
"1075",2011-06-20,"Real return benchmark bond yield, long term",1.044
"1076",2011-06-20,"Target rate",1
"1077",2011-06-21,"Real return benchmark bond yield, long term",1.032
"1078",2011-06-21,"Target rate",1
"1079",2011-06-22,"Real return benchmark bond yield, long term",1.042
"1080",2011-06-22,"Target rate",1
"1081",2011-06-23,"Real return benchmark bond yield, long term",1.037
"1082",2011-06-23,"Target rate",1
"1083",2011-06-24,"Real return benchmark bond yield, long term",1.029
"1084",2011-06-24,"Target rate",1
"1085",2011-06-25,"Real return benchmark bond yield, long term",0
"1086",2011-06-25,"Target rate",0
"1087",2011-06-26,"Real return benchmark bond yield, long term",0
"1088",2011-06-26,"Target rate",0
"1089",2011-06-27,"Real return benchmark bond yield, long term",1.052
"1090",2011-06-27,"Target rate",1
"1091",2011-06-28,"Real return benchmark bond yield, long term",1.046
"1092",2011-06-28,"Target rate",1
"1093",2011-06-29,"Real return benchmark bond yield, long term",1.041
"1094",2011-06-29,"Target rate",1
"1095",2011-06-30,"Real return benchmark bond yield, long term",1.032
"1096",2011-06-30,"Target rate",1
"1097",2011-07-01,"Real return benchmark bond yield, long term",NA
"1098",2011-07-01,"Target rate",1
"1099",2011-07-02,"Real return benchmark bond yield, long term",0
"1100",2011-07-02,"Target rate",0
"1101",2011-07-03,"Real return benchmark bond yield, long term",0
"1102",2011-07-03,"Target rate",0
"1103",2011-07-04,"Real return benchmark bond yield, long term",1.017
"1104",2011-07-04,"Target rate",1
"1105",2011-07-05,"Real return benchmark bond yield, long term",1.028
"1106",2011-07-05,"Target rate",1
"1107",2011-07-06,"Real return benchmark bond yield, long term",1.019
"1108",2011-07-06,"Target rate",1
"1109",2011-07-07,"Real return benchmark bond yield, long term",0.999
"1110",2011-07-07,"Target rate",1
"1111",2011-07-08,"Real return benchmark bond yield, long term",0.936
"1112",2011-07-08,"Target rate",1
"1113",2011-07-09,"Real return benchmark bond yield, long term",0
"1114",2011-07-09,"Target rate",0
"1115",2011-07-10,"Real return benchmark bond yield, long term",0
"1116",2011-07-10,"Target rate",0
"1117",2011-07-11,"Real return benchmark bond yield, long term",0.883
"1118",2011-07-11,"Target rate",1
"1119",2011-07-12,"Real return benchmark bond yield, long term",0.878
"1120",2011-07-12,"Target rate",1
"1121",2011-07-13,"Real return benchmark bond yield, long term",0.886
"1122",2011-07-13,"Target rate",1
"1123",2011-07-14,"Real return benchmark bond yield, long term",0.908
"1124",2011-07-14,"Target rate",1
"1125",2011-07-15,"Real return benchmark bond yield, long term",0.843
"1126",2011-07-15,"Target rate",1
"1127",2011-07-16,"Real return benchmark bond yield, long term",0
"1128",2011-07-16,"Target rate",0
"1129",2011-07-17,"Real return benchmark bond yield, long term",0
"1130",2011-07-17,"Target rate",0
"1131",2011-07-18,"Real return benchmark bond yield, long term",0.854
"1132",2011-07-18,"Target rate",1
"1133",2011-07-19,"Real return benchmark bond yield, long term",0.818
"1134",2011-07-19,"Target rate",1
"1135",2011-07-20,"Real return benchmark bond yield, long term",0.861
"1136",2011-07-20,"Target rate",1
"1137",2011-07-21,"Real return benchmark bond yield, long term",0.893
"1138",2011-07-21,"Target rate",1
"1139",2011-07-22,"Real return benchmark bond yield, long term",0.885
"1140",2011-07-22,"Target rate",1
"1141",2011-07-23,"Real return benchmark bond yield, long term",0
"1142",2011-07-23,"Target rate",0
"1143",2011-07-24,"Real return benchmark bond yield, long term",0
"1144",2011-07-24,"Target rate",0
"1145",2011-07-25,"Real return benchmark bond yield, long term",0.895
"1146",2011-07-25,"Target rate",1
"1147",2011-07-26,"Real return benchmark bond yield, long term",0.865
"1148",2011-07-26,"Target rate",1
"1149",2011-07-27,"Real return benchmark bond yield, long term",0.844
"1150",2011-07-27,"Target rate",1
"1151",2011-07-28,"Real return benchmark bond yield, long term",0.835
"1152",2011-07-28,"Target rate",1
"1153",2011-07-29,"Real return benchmark bond yield, long term",0.794
"1154",2011-07-29,"Target rate",1
"1155",2011-07-30,"Real return benchmark bond yield, long term",0
"1156",2011-07-30,"Target rate",0
"1157",2011-07-31,"Real return benchmark bond yield, long term",0
"1158",2011-07-31,"Target rate",0
"1159",2011-08-01,"Real return benchmark bond yield, long term",NA
"1160",2011-08-01,"Target rate",1
"1161",2011-08-02,"Real return benchmark bond yield, long term",0.721
"1162",2011-08-02,"Target rate",1
"1163",2011-08-03,"Real return benchmark bond yield, long term",0.752
"1164",2011-08-03,"Target rate",1
"1165",2011-08-04,"Real return benchmark bond yield, long term",0.715
"1166",2011-08-04,"Target rate",1
"1167",2011-08-05,"Real return benchmark bond yield, long term",0.833
"1168",2011-08-05,"Target rate",1
"1169",2011-08-06,"Real return benchmark bond yield, long term",0
"1170",2011-08-06,"Target rate",0
"1171",2011-08-07,"Real return benchmark bond yield, long term",0
"1172",2011-08-07,"Target rate",0
"1173",2011-08-08,"Real return benchmark bond yield, long term",0.616
"1174",2011-08-08,"Target rate",1
"1175",2011-08-09,"Real return benchmark bond yield, long term",0.811
"1176",2011-08-09,"Target rate",1
"1177",2011-08-10,"Real return benchmark bond yield, long term",0.63
"1178",2011-08-10,"Target rate",1
"1179",2011-08-11,"Real return benchmark bond yield, long term",0.702
"1180",2011-08-11,"Target rate",1
"1181",2011-08-12,"Real return benchmark bond yield, long term",0.695
"1182",2011-08-12,"Target rate",1
"1183",2011-08-13,"Real return benchmark bond yield, long term",0
"1184",2011-08-13,"Target rate",0
"1185",2011-08-14,"Real return benchmark bond yield, long term",0
"1186",2011-08-14,"Target rate",0
"1187",2011-08-15,"Real return benchmark bond yield, long term",0.707
"1188",2011-08-15,"Target rate",1
"1189",2011-08-16,"Real return benchmark bond yield, long term",0.699
"1190",2011-08-16,"Target rate",1
"1191",2011-08-17,"Real return benchmark bond yield, long term",0.639
"1192",2011-08-17,"Target rate",1
"1193",2011-08-18,"Real return benchmark bond yield, long term",0.635
"1194",2011-08-18,"Target rate",1
"1195",2011-08-19,"Real return benchmark bond yield, long term",0.642
"1196",2011-08-19,"Target rate",1
"1197",2011-08-20,"Real return benchmark bond yield, long term",0
"1198",2011-08-20,"Target rate",0
"1199",2011-08-21,"Real return benchmark bond yield, long term",0
"1200",2011-08-21,"Target rate",0
"1201",2011-08-22,"Real return benchmark bond yield, long term",0.667
"1202",2011-08-22,"Target rate",1
"1203",2011-08-23,"Real return benchmark bond yield, long term",0.736
"1204",2011-08-23,"Target rate",1
"1205",2011-08-24,"Real return benchmark bond yield, long term",0.814
"1206",2011-08-24,"Target rate",1
"1207",2011-08-25,"Real return benchmark bond yield, long term",0.778
"1208",2011-08-25,"Target rate",1
"1209",2011-08-26,"Real return benchmark bond yield, long term",0.768
"1210",2011-08-26,"Target rate",1
"1211",2011-08-27,"Real return benchmark bond yield, long term",0
"1212",2011-08-27,"Target rate",0
"1213",2011-08-28,"Real return benchmark bond yield, long term",0
"1214",2011-08-28,"Target rate",0
"1215",2011-08-29,"Real return benchmark bond yield, long term",0.823
"1216",2011-08-29,"Target rate",1
"1217",2011-08-30,"Real return benchmark bond yield, long term",0.814
"1218",2011-08-30,"Target rate",1
"1219",2011-08-31,"Real return benchmark bond yield, long term",0.876
"1220",2011-08-31,"Target rate",1
"1221",2011-09-01,"Real return benchmark bond yield, long term",0.822
"1222",2011-09-01,"Target rate",1
"1223",2011-09-02,"Real return benchmark bond yield, long term",0.771
"1224",2011-09-02,"Target rate",1
"1225",2011-09-03,"Real return benchmark bond yield, long term",0
"1226",2011-09-03,"Target rate",0
"1227",2011-09-04,"Real return benchmark bond yield, long term",0
"1228",2011-09-04,"Target rate",0
"1229",2011-09-05,"Real return benchmark bond yield, long term",NA
"1230",2011-09-05,"Target rate",1
"1231",2011-09-06,"Real return benchmark bond yield, long term",0.762
"1232",2011-09-06,"Target rate",1
"1233",2011-09-07,"Real return benchmark bond yield, long term",0.793
"1234",2011-09-07,"Target rate",1
"1235",2011-09-08,"Real return benchmark bond yield, long term",0.735
"1236",2011-09-08,"Target rate",1
"1237",2011-09-09,"Real return benchmark bond yield, long term",0.711
"1238",2011-09-09,"Target rate",1
"1239",2011-09-10,"Real return benchmark bond yield, long term",0
"1240",2011-09-10,"Target rate",0
"1241",2011-09-11,"Real return benchmark bond yield, long term",0
"1242",2011-09-11,"Target rate",0
"1243",2011-09-12,"Real return benchmark bond yield, long term",0.727
"1244",2011-09-12,"Target rate",1
"1245",2011-09-13,"Real return benchmark bond yield, long term",0.74
"1246",2011-09-13,"Target rate",1
"1247",2011-09-14,"Real return benchmark bond yield, long term",0.759
"1248",2011-09-14,"Target rate",1
"1249",2011-09-15,"Real return benchmark bond yield, long term",0.81
"1250",2011-09-15,"Target rate",1
"1251",2011-09-16,"Real return benchmark bond yield, long term",0.807
"1252",2011-09-16,"Target rate",1
"1253",2011-09-17,"Real return benchmark bond yield, long term",0
"1254",2011-09-17,"Target rate",0
"1255",2011-09-18,"Real return benchmark bond yield, long term",0
"1256",2011-09-18,"Target rate",0
"1257",2011-09-19,"Real return benchmark bond yield, long term",0.816
"1258",2011-09-19,"Target rate",1
"1259",2011-09-20,"Real return benchmark bond yield, long term",0.808
"1260",2011-09-20,"Target rate",1
"1261",2011-09-21,"Real return benchmark bond yield, long term",0.745
"1262",2011-09-21,"Target rate",1
"1263",2011-09-22,"Real return benchmark bond yield, long term",0.752
"1264",2011-09-22,"Target rate",1
"1265",2011-09-23,"Real return benchmark bond yield, long term",0.784
"1266",2011-09-23,"Target rate",1
"1267",2011-09-24,"Real return benchmark bond yield, long term",0
"1268",2011-09-24,"Target rate",0
"1269",2011-09-25,"Real return benchmark bond yield, long term",0
"1270",2011-09-25,"Target rate",0
"1271",2011-09-26,"Real return benchmark bond yield, long term",0.862
"1272",2011-09-26,"Target rate",1
"1273",2011-09-27,"Real return benchmark bond yield, long term",0.875
"1274",2011-09-27,"Target rate",1
"1275",2011-09-28,"Real return benchmark bond yield, long term",0.875
"1276",2011-09-28,"Target rate",1
"1277",2011-09-29,"Real return benchmark bond yield, long term",0.883
"1278",2011-09-29,"Target rate",1
"1279",2011-09-30,"Real return benchmark bond yield, long term",0.818
"1280",2011-09-30,"Target rate",1
"1281",2011-10-01,"Real return benchmark bond yield, long term",0
"1282",2011-10-01,"Target rate",0
"1283",2011-10-02,"Real return benchmark bond yield, long term",0
"1284",2011-10-02,"Target rate",0
"1285",2011-10-03,"Real return benchmark bond yield, long term",0.744
"1286",2011-10-03,"Target rate",1
"1287",2011-10-04,"Real return benchmark bond yield, long term",0.721
"1288",2011-10-04,"Target rate",1
"1289",2011-10-05,"Real return benchmark bond yield, long term",0.7
"1290",2011-10-05,"Target rate",1
"1291",2011-10-06,"Real return benchmark bond yield, long term",0.764
"1292",2011-10-06,"Target rate",1
"1293",2011-10-07,"Real return benchmark bond yield, long term",0.704
"1294",2011-10-07,"Target rate",1
"1295",2011-10-08,"Real return benchmark bond yield, long term",0
"1296",2011-10-08,"Target rate",0
"1297",2011-10-09,"Real return benchmark bond yield, long term",0
"1298",2011-10-09,"Target rate",0
"1299",2011-10-10,"Real return benchmark bond yield, long term",NA
"1300",2011-10-10,"Target rate",1
"1301",2011-10-11,"Real return benchmark bond yield, long term",0.722
"1302",2011-10-11,"Target rate",1
"1303",2011-10-12,"Real return benchmark bond yield, long term",0.794
"1304",2011-10-12,"Target rate",1
"1305",2011-10-13,"Real return benchmark bond yield, long term",0.798
"1306",2011-10-13,"Target rate",1
"1307",2011-10-14,"Real return benchmark bond yield, long term",0.875
"1308",2011-10-14,"Target rate",1
"1309",2011-10-15,"Real return benchmark bond yield, long term",0
"1310",2011-10-15,"Target rate",0
"1311",2011-10-16,"Real return benchmark bond yield, long term",0
"1312",2011-10-16,"Target rate",0
"1313",2011-10-17,"Real return benchmark bond yield, long term",0.792
"1314",2011-10-17,"Target rate",1
"1315",2011-10-18,"Real return benchmark bond yield, long term",0.814
"1316",2011-10-18,"Target rate",1
"1317",2011-10-19,"Real return benchmark bond yield, long term",0.831
"1318",2011-10-19,"Target rate",1
"1319",2011-10-20,"Real return benchmark bond yield, long term",0.822
"1320",2011-10-20,"Target rate",1
"1321",2011-10-21,"Real return benchmark bond yield, long term",0.84
"1322",2011-10-21,"Target rate",1
"1323",2011-10-22,"Real return benchmark bond yield, long term",0
"1324",2011-10-22,"Target rate",0
"1325",2011-10-23,"Real return benchmark bond yield, long term",0
"1326",2011-10-23,"Target rate",0
"1327",2011-10-24,"Real return benchmark bond yield, long term",0.841
"1328",2011-10-24,"Target rate",1
"1329",2011-10-25,"Real return benchmark bond yield, long term",0.777
"1330",2011-10-25,"Target rate",1
"1331",2011-10-26,"Real return benchmark bond yield, long term",0.847
"1332",2011-10-26,"Target rate",1
"1333",2011-10-27,"Real return benchmark bond yield, long term",0.897
"1334",2011-10-27,"Target rate",1
"1335",2011-10-28,"Real return benchmark bond yield, long term",0.823
"1336",2011-10-28,"Target rate",1
"1337",2011-10-29,"Real return benchmark bond yield, long term",0
"1338",2011-10-29,"Target rate",0
"1339",2011-10-30,"Real return benchmark bond yield, long term",0
"1340",2011-10-30,"Target rate",0
"1341",2011-10-31,"Real return benchmark bond yield, long term",0.669
"1342",2011-10-31,"Target rate",1
"1343",2011-11-01,"Real return benchmark bond yield, long term",0.559
"1344",2011-11-01,"Target rate",1
"1345",2011-11-02,"Real return benchmark bond yield, long term",0.578
"1346",2011-11-02,"Target rate",1
"1347",2011-11-03,"Real return benchmark bond yield, long term",0.612
"1348",2011-11-03,"Target rate",1
"1349",2011-11-04,"Real return benchmark bond yield, long term",0.593
"1350",2011-11-04,"Target rate",1
"1351",2011-11-05,"Real return benchmark bond yield, long term",0
"1352",2011-11-05,"Target rate",0
"1353",2011-11-06,"Real return benchmark bond yield, long term",0
"1354",2011-11-06,"Target rate",0
"1355",2011-11-07,"Real return benchmark bond yield, long term",0.58
"1356",2011-11-07,"Target rate",1
"1357",2011-11-08,"Real return benchmark bond yield, long term",0.58
"1358",2011-11-08,"Target rate",1
"1359",2011-11-09,"Real return benchmark bond yield, long term",0.544
"1360",2011-11-09,"Target rate",1
"1361",2011-11-10,"Real return benchmark bond yield, long term",0.571
"1362",2011-11-10,"Target rate",1
"1363",2011-11-11,"Real return benchmark bond yield, long term",NA
"1364",2011-11-11,"Target rate",1
"1365",2011-11-12,"Real return benchmark bond yield, long term",0
"1366",2011-11-12,"Target rate",0
"1367",2011-11-13,"Real return benchmark bond yield, long term",0
"1368",2011-11-13,"Target rate",0
"1369",2011-11-14,"Real return benchmark bond yield, long term",0.553
"1370",2011-11-14,"Target rate",1
"1371",2011-11-15,"Real return benchmark bond yield, long term",0.577
"1372",2011-11-15,"Target rate",1
"1373",2011-11-16,"Real return benchmark bond yield, long term",0.559
"1374",2011-11-16,"Target rate",1
"1375",2011-11-17,"Real return benchmark bond yield, long term",0.579
"1376",2011-11-17,"Target rate",1
"1377",2011-11-18,"Real return benchmark bond yield, long term",0.596
"1378",2011-11-18,"Target rate",1
"1379",2011-11-19,"Real return benchmark bond yield, long term",0
"1380",2011-11-19,"Target rate",0
"1381",2011-11-20,"Real return benchmark bond yield, long term",0
"1382",2011-11-20,"Target rate",0
"1383",2011-11-21,"Real return benchmark bond yield, long term",0.584
"1384",2011-11-21,"Target rate",1
"1385",2011-11-22,"Real return benchmark bond yield, long term",0.573
"1386",2011-11-22,"Target rate",1
"1387",2011-11-23,"Real return benchmark bond yield, long term",0.553
"1388",2011-11-23,"Target rate",1
"1389",2011-11-24,"Real return benchmark bond yield, long term",0.551
"1390",2011-11-24,"Target rate",1
"1391",2011-11-25,"Real return benchmark bond yield, long term",0.568
"1392",2011-11-25,"Target rate",1
"1393",2011-11-26,"Real return benchmark bond yield, long term",0
"1394",2011-11-26,"Target rate",0
"1395",2011-11-27,"Real return benchmark bond yield, long term",0
"1396",2011-11-27,"Target rate",0
"1397",2011-11-28,"Real return benchmark bond yield, long term",0.599
"1398",2011-11-28,"Target rate",1
"1399",2011-11-29,"Real return benchmark bond yield, long term",0.592
"1400",2011-11-29,"Target rate",1
"1401",2011-11-30,"Real return benchmark bond yield, long term",0.605
"1402",2011-11-30,"Target rate",1
"1403",2011-12-01,"Real return benchmark bond yield, long term",0.587
"1404",2011-12-01,"Target rate",1
"1405",2011-12-02,"Real return benchmark bond yield, long term",0.569
"1406",2011-12-02,"Target rate",1
"1407",2011-12-03,"Real return benchmark bond yield, long term",0
"1408",2011-12-03,"Target rate",0
"1409",2011-12-04,"Real return benchmark bond yield, long term",0
"1410",2011-12-04,"Target rate",0
"1411",2011-12-05,"Real return benchmark bond yield, long term",0.565
"1412",2011-12-05,"Target rate",1
"1413",2011-12-06,"Real return benchmark bond yield, long term",0.569
"1414",2011-12-06,"Target rate",1
"1415",2011-12-07,"Real return benchmark bond yield, long term",0.527
"1416",2011-12-07,"Target rate",1
"1417",2011-12-08,"Real return benchmark bond yield, long term",0.508
"1418",2011-12-08,"Target rate",1
"1419",2011-12-09,"Real return benchmark bond yield, long term",0.586
"1420",2011-12-09,"Target rate",1
"1421",2011-12-10,"Real return benchmark bond yield, long term",0
"1422",2011-12-10,"Target rate",0
"1423",2011-12-11,"Real return benchmark bond yield, long term",0
"1424",2011-12-11,"Target rate",0
"1425",2011-12-12,"Real return benchmark bond yield, long term",0.554
"1426",2011-12-12,"Target rate",1
"1427",2011-12-13,"Real return benchmark bond yield, long term",0.515
"1428",2011-12-13,"Target rate",1
"1429",2011-12-14,"Real return benchmark bond yield, long term",0.515
"1430",2011-12-14,"Target rate",1
"1431",2011-12-15,"Real return benchmark bond yield, long term",0.519
"1432",2011-12-15,"Target rate",1
"1433",2011-12-16,"Real return benchmark bond yield, long term",0.454
"1434",2011-12-16,"Target rate",1
"1435",2011-12-17,"Real return benchmark bond yield, long term",0
"1436",2011-12-17,"Target rate",0
"1437",2011-12-18,"Real return benchmark bond yield, long term",0
"1438",2011-12-18,"Target rate",0
"1439",2011-12-19,"Real return benchmark bond yield, long term",0.411
"1440",2011-12-19,"Target rate",1
"1441",2011-12-20,"Real return benchmark bond yield, long term",0.452
"1442",2011-12-20,"Target rate",1
"1443",2011-12-21,"Real return benchmark bond yield, long term",0.476
"1444",2011-12-21,"Target rate",1
"1445",2011-12-22,"Real return benchmark bond yield, long term",0.48
"1446",2011-12-22,"Target rate",1
"1447",2011-12-23,"Real return benchmark bond yield, long term",0.521
"1448",2011-12-23,"Target rate",1
"1449",2011-12-24,"Real return benchmark bond yield, long term",0
"1450",2011-12-24,"Target rate",0
"1451",2011-12-25,"Real return benchmark bond yield, long term",0
"1452",2011-12-25,"Target rate",0
"1453",2011-12-26,"Real return benchmark bond yield, long term",NA
"1454",2011-12-26,"Target rate",1
"1455",2011-12-27,"Real return benchmark bond yield, long term",NA
"1456",2011-12-27,"Target rate",1
"1457",2011-12-28,"Real return benchmark bond yield, long term",0.474
"1458",2011-12-28,"Target rate",1
"1459",2011-12-29,"Real return benchmark bond yield, long term",0.468
"1460",2011-12-29,"Target rate",1
"1461",2011-12-30,"Real return benchmark bond yield, long term",0.451
"1462",2011-12-30,"Target rate",1
"1463",2011-12-31,"Real return benchmark bond yield, long term",0
"1464",2011-12-31,"Target rate",0
"1465",2012-01-01,"Real return benchmark bond yield, long term",0
"1466",2012-01-01,"Target rate",0
"1467",2012-01-02,"Real return benchmark bond yield, long term",NA
"1468",2012-01-02,"Target rate",1
"1469",2012-01-03,"Real return benchmark bond yield, long term",0.513
"1470",2012-01-03,"Target rate",1
"1471",2012-01-04,"Real return benchmark bond yield, long term",0.492
"1472",2012-01-04,"Target rate",1
"1473",2012-01-05,"Real return benchmark bond yield, long term",0.465
"1474",2012-01-05,"Target rate",1
"1475",2012-01-06,"Real return benchmark bond yield, long term",0.417
"1476",2012-01-06,"Target rate",1
"1477",2012-01-07,"Real return benchmark bond yield, long term",0
"1478",2012-01-07,"Target rate",0
"1479",2012-01-08,"Real return benchmark bond yield, long term",0
"1480",2012-01-08,"Target rate",0
"1481",2012-01-09,"Real return benchmark bond yield, long term",0.383
"1482",2012-01-09,"Target rate",1
"1483",2012-01-10,"Real return benchmark bond yield, long term",0.396
"1484",2012-01-10,"Target rate",1
"1485",2012-01-11,"Real return benchmark bond yield, long term",0.362
"1486",2012-01-11,"Target rate",1
"1487",2012-01-12,"Real return benchmark bond yield, long term",0.403
"1488",2012-01-12,"Target rate",1
"1489",2012-01-13,"Real return benchmark bond yield, long term",0.377
"1490",2012-01-13,"Target rate",1
"1491",2012-01-14,"Real return benchmark bond yield, long term",0
"1492",2012-01-14,"Target rate",0
"1493",2012-01-15,"Real return benchmark bond yield, long term",0
"1494",2012-01-15,"Target rate",0
"1495",2012-01-16,"Real return benchmark bond yield, long term",0.38
"1496",2012-01-16,"Target rate",1
"1497",2012-01-17,"Real return benchmark bond yield, long term",0.369
"1498",2012-01-17,"Target rate",1
"1499",2012-01-18,"Real return benchmark bond yield, long term",0.401
"1500",2012-01-18,"Target rate",1
"1501",2012-01-19,"Real return benchmark bond yield, long term",0.437
"1502",2012-01-19,"Target rate",1
