"REF_DATE","GEO","DGUID","Duration of unemployment","Age group","Sex","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078668391","1.9.1.1.1.2","18.8",,,,"1"
"2020-12","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078668391","1.9.1.1.1.2","21.1",,,,"1"
"2021-01","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078668391","1.9.1.1.1.2","19.8",,,,"1"
"2021-02","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078668391","1.9.1.1.1.2","21.4",,,,"1"
"2021-03","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078668391","1.9.1.1.1.2","22.8",,,,"1"
"2021-04","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078668391","1.9.1.1.1.2","23.4",,,,"1"
"2021-05","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078668391","1.9.1.1.1.2","22.0",,,,"1"
"2020-01","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.8",,,,"1"
"2020-02","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.8",,,,"1"
"2020-03","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.8",,,,"1"
"2020-04","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.8",,,,"1"
"2020-05","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.8",,,,"1"
"2020-06","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.8",,,,"1"
"2020-07","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.7",,,,"1"
"2020-08","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.7",,,,"1"
"2020-09","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.7",,,,"1"
"2020-10","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.7",,,,"1"
"2020-11","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.7",,,,"1"
"2020-12","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.7",,,,"1"
"2021-01","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.6",,,,"1"
"2021-02","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.6",,,,"1"
"2021-03","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.6",,,,"1"
"2021-04","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.6",,,,"1"
"2021-05","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078668392","1.9.1.1.2.1","0.6",,,,"1"
"2020-01","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-02","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-03","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-04","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-05","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-06","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-07","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-08","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-09","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-10","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-11","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-12","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2021-01","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2021-02","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2021-03","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2021-04","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2021-05","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078668393","1.9.1.1.2.2",,"..",,,"1"
"2020-01","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","18.0",,,,"1"
"2020-02","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","18.2",,,,"1"
"2020-03","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","17.1",,,,"1"
"2020-04","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","13.2",,,,"1"
"2020-05","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","14.0",,,,"1"
"2020-06","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","15.8",,,,"1"
"2020-07","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","16.4",,,,"1"
"2020-08","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","16.9",,,,"1"
"2020-09","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","20.8",,,,"1"
"2020-10","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","22.4",,,,"1"
"2020-11","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","25.2",,,,"1"
"2020-12","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","23.6",,,,"1"
"2021-01","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","20.7",,,,"1"
"2021-02","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","21.2",,,,"1"
"2021-03","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","19.4",,,,"1"
"2021-04","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","19.7",,,,"1"
"2021-05","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078669578","2.9.1.1.1.1","21.3",,,,"1"
"2020-01","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","17.3",,,,"1"
"2020-02","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","16.7",,,,"1"
"2020-03","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","18.0",,,,"1"
"2020-04","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","14.6",,,,"1"
"2020-05","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","14.0",,,,"1"
"2020-06","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","15.7",,,,"1"
"2020-07","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","16.9",,,,"1"
"2020-08","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","17.9",,,,"1"
"2020-09","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","21.9",,,,"1"
"2020-10","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","22.1",,,,"1"
"2020-11","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","23.9",,,,"1"
"2020-12","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","21.5",,,,"1"
"2021-01","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","20.7",,,,"1"
"2021-02","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","20.2",,,,"1"
"2021-03","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","20.7",,,,"1"
"2021-04","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","22.5",,,,"1"
"2021-05","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Unadjusted","Weeks","303","units","0","v1078669579","2.9.1.1.1.2","22.5",,,,"1"
"2020-01","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2020-02","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2020-03","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2020-04","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2020-05","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2020-06","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2020-07","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.7",,,,"1"
"2020-08","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.7",,,,"1"
"2020-09","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.7",,,,"1"
"2020-10","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.7",,,,"1"
"2020-11","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.7",,,,"1"
"2020-12","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.7",,,,"1"
"2021-01","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2021-02","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2021-03","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2021-04","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2021-05","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Seasonally adjusted","Weeks","303","units","0","v1078669580","2.9.1.1.2.1","1.8",,,,"1"
"2020-01","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078669581","2.9.1.1.2.2",,"..",,,"1"
"2020-02","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078669581","2.9.1.1.2.2",,"..",,,"1"
"2020-03","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078669581","2.9.1.1.2.2",,"..",,,"1"
"2020-04","Newfoundland and Labrador","2016A000210","Average weeks unemployed, no top-code","15 years and over","Both sexes","Standard error of estimate","Unadjusted","Weeks","303","units","0","v1078669581","2.9.1.1.2.2",,"..",,,"1"
