"","ref_year","geo","value","value_fd","value_pc"
"132",2019,"Newfoundland and Labrador",523476,-2084,-0.397
"133",2019,"Northwest Territories",45028,47,0.104
"134",2019,"Nova Scotia",969747,11341,1.183
"135",2019,"Nunavut",38614,471,1.235
"136",2019,"Ontario",14544718,236021,1.649
"137",2019,"Prince Edward Island",157262,3866,2.52
"138",2019,"Quebec",8501703,99965,1.19
"139",2019,"Saskatchewan",1172302,10535,0.907
"140",2019,"Yukon",41477,864,2.127
"141",2020,"Alberta",4421876,60182,1.38
"142",2020,"British Columbia",5147712,56757,1.115
"143",2020,"Canada",38005238,411854,1.096
"144",2020,"Manitoba",1379263,9723,0.71
"145",2020,"New Brunswick",781476,4608,0.593
"146",2020,"Newfoundland and Labrador",522103,-1373,-0.262
"147",2020,"Northwest Territories",45161,133,0.295
"148",2020,"Nova Scotia",979351,9604,0.99
"149",2020,"Nunavut",39353,739,1.914
"150",2020,"Ontario",14734014,189296,1.301
"151",2020,"Prince Edward Island",159625,2363,1.503
"152",2020,"Quebec",8574571,72868,0.857
"153",2020,"Saskatchewan",1178681,6379,0.544
"154",2020,"Yukon",42052,575,1.386
