"","ref_date","geo","value"
"144",2010-12-01,"Newfoundland and Labrador",17.8
"145",2011-01-01,"Newfoundland and Labrador",15.8
"146",2011-02-01,"Newfoundland and Labrador",14.9
"147",2011-03-01,"Newfoundland and Labrador",17.8
"148",2011-04-01,"Newfoundland and Labrador",17.1
"149",2011-05-01,"Newfoundland and Labrador",14.3
"150",2011-06-01,"Newfoundland and Labrador",17.3
"151",2011-07-01,"Newfoundland and Labrador",19.5
"152",2011-08-01,"Newfoundland and Labrador",16.2
"153",2011-09-01,"Newfoundland and Labrador",20.3
"154",2011-10-01,"Newfoundland and Labrador",18.8
"155",2011-11-01,"Newfoundland and Labrador",16.9
"156",2011-12-01,"Newfoundland and Labrador",21.3
"157",2012-01-01,"Newfoundland and Labrador",16.5
"158",2012-02-01,"Newfoundland and Labrador",16.9
"159",2012-03-01,"Newfoundland and Labrador",17.5
"160",2012-04-01,"Newfoundland and Labrador",18.5
"161",2012-05-01,"Newfoundland and Labrador",21
"162",2012-06-01,"Newfoundland and Labrador",18.7
"163",2012-07-01,"Newfoundland and Labrador",20.8
"164",2012-08-01,"Newfoundland and Labrador",15.9
"165",2012-09-01,"Newfoundland and Labrador",12.2
"166",2012-10-01,"Newfoundland and Labrador",14.2
"167",2012-11-01,"Newfoundland and Labrador",14.3
"168",2012-12-01,"Newfoundland and Labrador",18.8
"169",2013-01-01,"Newfoundland and Labrador",15.5
"170",2013-02-01,"Newfoundland and Labrador",15.5
"171",2013-03-01,"Newfoundland and Labrador",17.3
"172",2013-04-01,"Newfoundland and Labrador",17.1
"173",2013-05-01,"Newfoundland and Labrador",27
"174",2013-06-01,"Newfoundland and Labrador",16.9
"175",2013-07-01,"Newfoundland and Labrador",14.3
"176",2013-08-01,"Newfoundland and Labrador",15
"177",2013-09-01,"Newfoundland and Labrador",19.3
"178",2013-10-01,"Newfoundland and Labrador",16
"179",2013-11-01,"Newfoundland and Labrador",15.6
"180",2013-12-01,"Newfoundland and Labrador",14.4
"181",2014-01-01,"Newfoundland and Labrador",14.7
"182",2014-02-01,"Newfoundland and Labrador",15.5
"183",2014-03-01,"Newfoundland and Labrador",17.2
"184",2014-04-01,"Newfoundland and Labrador",18.8
"185",2014-05-01,"Newfoundland and Labrador",17.7
"186",2014-06-01,"Newfoundland and Labrador",17.8
"187",2014-07-01,"Newfoundland and Labrador",17.2
"188",2014-08-01,"Newfoundland and Labrador",16.8
"189",2014-09-01,"Newfoundland and Labrador",21.1
"190",2014-10-01,"Newfoundland and Labrador",15.5
"191",2014-11-01,"Newfoundland and Labrador",13
"192",2014-12-01,"Newfoundland and Labrador",14.8
"193",2015-01-01,"Newfoundland and Labrador",18.6
"194",2015-02-01,"Newfoundland and Labrador",18
"195",2015-03-01,"Newfoundland and Labrador",18.4
"196",2015-04-01,"Newfoundland and Labrador",20.2
"197",2015-05-01,"Newfoundland and Labrador",17.9
"198",2015-06-01,"Newfoundland and Labrador",16.6
"199",2015-07-01,"Newfoundland and Labrador",16.4
"200",2015-08-01,"Newfoundland and Labrador",18.4
"201",2015-09-01,"Newfoundland and Labrador",19.5
"202",2015-10-01,"Newfoundland and Labrador",13.9
"203",2015-11-01,"Newfoundland and Labrador",12.8
"204",2015-12-01,"Newfoundland and Labrador",17.2
"205",2016-01-01,"Newfoundland and Labrador",18.8
"206",2016-02-01,"Newfoundland and Labrador",18.6
"207",2016-03-01,"Newfoundland and Labrador",20.8
"208",2016-04-01,"Newfoundland and Labrador",23.6
